,Unnamed: 0,ID,cluster
126,126,1 (35),8
127,127,8Y9A1996,0
128,128,8Y9A1969,0
129,129,0B8A5108,0
130,130,8Y9A2290,-1
131,131,0B8A5652,-1
132,132,8Y9A2284,0
133,133,0B8A5134,29
134,134,8Y9A2051,2
135,135,0B8A4955,30
136,136,8O4A8936,12
137,137,8O4A8922,5
138,138,0B8A4772,31
139,139,0B8A4982,-1
140,140,0B8A5322,1
141,141,8Y9A2086,-1
142,142,0B8A5450,0
143,143,0B8A4992,32
144,144,8Y9A2082,33
145,145,0B8A5332,1
146,146,8B5A6713,-1
147,147,0B8A5326,1
148,148,8Y9A1560,-1
149,149,0B8A4951,0
150,150,0B8A4945,0
151,151,8B5A6539,0
152,152,0B8A6363,0
153,153,8Y9A1979,2
154,154,0B8A5118,0
155,155,0B8A5130,34
156,156,8Y9A2280,35
157,157,8B5A6511,23
158,158,8Y9A2519,17
159,159,8Y9A2243,0
160,160,0B8A5695,0
161,161,0B8A6388,-1
162,162,8Y9A1986,33
163,163,0B8A6571,0
164,164,8B5A6459,8
165,165,0B8A6565,0
166,166,8B5A6303,0
167,167,0B8A5736,36
168,168,8Y9A2486,37
169,169,8O4A0017,0
170,170,0B8A5087,0
171,171,1 (7),6
172,172,1 (22),-1
173,173,8Y9A2323,-1
174,174,8Y9A2445,-1
175,175,8B5A6897,0
176,176,8Y9A2690,-1
177,177,8B5A6854,-1
178,178,8B5A6840,38
179,179,8O4A8675,3
180,180,8Y9A2121,-1
181,181,8O4A8660,-1
182,182,0B8A5535,0
183,183,8B5A6672,0
184,184,8B5A6896,-1
185,185,0B8A5092,0
186,186,8Y9A2336,0
187,187,8Y9A1617,9
188,188,0B8A5737,36
189,189,0B8A6558,-1
190,190,0B8A5051,0
191,191,1 (59),8
192,192,8B5A6470,11
193,193,0B8A5079,0
194,194,8Y9A1818,-1
195,195,8Y9A1987,0
196,196,8Y9A2256,0
197,197,8Y9A1993,-1
198,198,8B5A6289,8
199,199,8B5A6510,8
200,200,0B8A5125,0
201,201,0B8A6438,12
202,202,8Y9A1788,8
203,203,8Y9A1950,0
204,204,8Y9A2281,-1
205,205,0B8A6376,0
206,206,8Y9A2054,0
207,207,0B8A5482,-1
208,208,0B8A4788,0
209,209,8Y9A2040,21
210,210,0B8A5496,-1
211,211,8Y9A2068,-1
212,212,8B5A6921,13
213,213,0B8A5441,0
214,214,8Y9A2083,-1
215,215,1 (18),-1
216,216,0B8A5333,4
217,217,8O4A8933,4
218,218,0B8A4763,3
219,219,8O4A8927,39
220,220,8O4A8931,40
221,221,8B5A6738,-1
222,222,0B8A4985,-1
223,223,8B5A6704,-1
224,224,8O4A8919,5
225,225,8Y9A1563,0
226,226,8B5A6937,22
227,227,8Y9A2056,0
228,228,8Y9A2042,30
229,229,0B8A6412,0
230,230,0B8A6374,0
231,231,0B8A6360,0
232,232,0B8A5127,-1
233,233,8B5A6274,8
234,234,0B8A5641,-1
235,235,8Y9A2297,-1
236,236,0B8A5655,-1
237,237,1 (38),8
238,238,8B5A6506,8
239,239,8Y9A1761,0
240,240,8Y9A2268,0
241,241,0B8A5682,-1
242,242,8Y9A2254,-1
243,243,8Y9A1749,-1
244,244,0B8A5053,0
245,245,0B8A5735,-1
246,246,8Y9A1826,0
247,247,0B8A5047,0
248,248,8Y9A1615,41
249,249,8O4A0014,-1
250,250,0B8A5090,0
251,251,8Y9A1629,-1
252,252,8Y9A2334,-1
253,253,0B8A5279,12
254,254,8O4A8879,16
255,255,8O4A8662,-1
256,256,8Y9A2122,0
257,257,0B8A4832,27
258,258,0B8A5292,-1
259,259,8Y9A2650,-1
260,260,0B8A5286,-1
261,261,0B8A4826,42
262,262,0B8A4827,42
263,263,8O4A8677,3
264,264,8Y9A2679,-1
265,265,0B8A5536,0
266,266,0B8A5278,12
267,267,8O4A8844,15
268,268,8Y9A2453,43
269,269,8Y9A2321,0
270,270,8B5A6498,-1
271,271,8Y9A1827,0
272,272,8Y9A2484,37
273,273,0B8A5734,-1
274,274,0B8A4370,-1
275,275,8Y9A2241,0
276,276,0B8A5697,26
277,277,8Y9A1990,44
278,278,8Y9A2282,0
279,279,0B8A5132,0
280,280,0B8A5495,-1
281,281,1 (14),-1
282,282,0B8A5481,0
283,283,8Y9A2057,-1
284,284,0B8A5330,1
285,285,0B8A4990,-1
286,286,0B8A5442,45
287,287,0B8A5324,1
288,288,8B5A6711,0
289,289,8O4A8924,39
290,290,0B8A4774,37
291,291,8O4A8930,40
292,292,0B8A4760,31
293,293,0B8A5425,46
294,294,8B5A6776,-1
295,295,0B8A5357,0
296,296,8B5A6986,-1
297,297,8Y9A2030,-1
298,298,0B8A4920,-1
299,299,0B8A5380,47
300,300,0B8A5394,48
301,301,8B5A6979,-1
302,302,8B5A6951,49
303,303,8B5A6789,-1
304,304,0B8A4908,50
305,305,0B8A6448,0
306,306,0B8A5627,51
307,307,1 (48),52
